musteri_id_mask,bilet_alma_tarihi,min_bilet_alma_zamani,gunluk_toplam_islem_sayisi,sube_kodu,x,y
17365229,05FEB2015:00:00:00,05FEB2015:16:01:28.000000,4,4,41.014741,28.973737
17365229,26MAY2015:00:00:00,26MAY2015:10:41:16.000000,2,4,41.014741,28.973737
17365229,25AUG2014:00:00:00,25AUG2014:11:01:11.000000,5,4,41.014741,28.973737
17755740,17SEP2014:00:00:00,17SEP2014:10:17:03.000000,6,4,41.014741,28.973737
18780990,14JUL2014:00:00:00,14JUL2014:12:23:15.000000,4,4,41.014741,28.973737
17365229,01JUL2014:00:00:00,01JUL2014:16:51:50.000000,3,4,41.014741,28.973737
17365229,02SEP2014:00:00:00,02SEP2014:16:29:41.000000,5,4,41.014741,28.973737
17755740,20AUG2014:00:00:00,20AUG2014:09:35:09.000000,7,4,41.014741,28.973737
17365229,18DEC2014:00:00:00,18DEC2014:12:01:22.000000,4,4,41.014741,28.973737
17365229,15SEP2014:00:00:00,15SEP2014:16:37:29.000000,4,4,41.014741,28.973737
17365229,11JUL2014:00:00:00,11JUL2014:14:54:42.000000,5,4,41.014741,28.973737
17755740,18JUL2014:00:00:00,18JUL2014:09:28:50.000000,12,4,41.014741,28.973737
17365229,10OCT2014:00:00:00,10OCT2014:15:49:13.000000,3,4,41.014741,28.973737
17365229,18AUG2014:00:00:00,18AUG2014:13:40:04.000000,3,4,41.014741,28.973737
17365229,06APR2015:00:00:00,06APR2015:10:45:48.000000,2,4,41.014741,28.973737
17365229,20OCT2014:00:00:00,20OCT2014:16:55:48.000000,3,4,41.014741,28.973737
17365229,17OCT2014:00:00:00,17OCT2014:15:08:13.000000,4,4,41.014741,28.973737
17365229,23JUN2015:00:00:00,23JUN2015:14:47:20.000000,3,4,41.014741,28.973737
17755740,18AUG2014:00:00:00,18AUG2014:09:44:50.000000,4,4,41.014741,28.973737
18745897,13AUG2014:00:00:00,13AUG2014:13:33:54.000000,63,4,41.014741,28.973737
17365229,16SEP2014:00:00:00,16SEP2014:10:57:39.000000,6,4,41.014741,28.973737
17625161,25AUG2014:00:00:00,25AUG2014:15:55:20.000000,5,4,41.014741,28.973737
17365229,27JAN2015:00:00:00,27JAN2015:10:32:43.000000,5,4,41.014741,28.973737
17365229,15OCT2014:00:00:00,15OCT2014:10:12:17.000000,3,4,41.014741,28.973737
18780990,12NOV2014:00:00:00,12NOV2014:10:19:50.000000,92,4,41.014741,28.973737
17365229,03SEP2014:00:00:00,03SEP2014:16:38:30.000000,4,4,41.014741,28.973737
17365229,27OCT2014:00:00:00,27OCT2014:10:50:57.000000,4,4,41.014741,28.973737
15438869,21OCT2014:00:00:00,21OCT2014:14:12:34.000000,3,13,41.041833,29.004311
15438869,06JAN2015:00:00:00,06JAN2015:16:46:27.000000,6,13,41.041833,29.004311
15438869,17DEC2014:00:00:00,17DEC2014:16:56:29.000000,3,13,41.041833,29.004311
15438869,08AUG2014:00:00:00,08AUG2014:14:29:01.000000,9,13,41.041833,29.004311
20498552,17APR2015:00:00:00,17APR2015:09:49:22.000000,27,13,41.041833,29.004311
20186282,28JAN2015:00:00:00,28JAN2015:15:27:26.000000,4,19,41.022815,28.975625
20186282,23SEP2014:00:00:00,23SEP2014:14:17:24.000000,6,19,41.022815,28.975625
20186282,25AUG2014:00:00:00,25AUG2014:14:22:38.000000,3,19,41.022815,28.975625
20498552,17APR2015:00:00:00,17APR2015:10:43:20.000000,27,20,40.9912,29.02654
15823515,04JUL2014:00:00:00,04JUL2014:15:24:05.000000,7,28,41.02272,28.94397
3542321,12NOV2014:00:00:00,12NOV2014:14:19:02.000000,8,29,40.92427,29.13181
14190363,08MAY2015:00:00:00,08MAY2015:17:06:38.000000,3,29,40.92427,29.13181
20007351,11AUG2014:00:00:00,11AUG2014:17:22:01.000000,4,32,41.0092,28.96395
20169927,01DEC2014:00:00:00,01DEC2014:15:00:22.000000,8,55,41.058622,28.913223
20169927,08JUN2015:00:00:00,08JUN2015:15:18:40.000000,3,55,41.058622,28.913223
25139695,14JAN2015:00:00:00,14JAN2015:16:04:00.000000,4,62,36.987111,35.337499
17755740,25NOV2014:00:00:00,25NOV2014:10:21:53.000000,6,65,41.01704,28.96956
17755740,18JUN2015:00:00:00,18JUN2015:11:40:45.000000,2,65,41.01704,28.96956
17755740,22APR2015:00:00:00,22APR2015:09:44:08.000000,3,65,41.01704,28.96956
17755740,16FEB2015:00:00:00,16FEB2015:09:59:03.000000,11,65,41.01704,28.96956
14573146,07JUL2014:00:00:00,07JUL2014:09:06:14.000000,5,65,41.01704,28.96956
14573146,09JUL2014:00:00:00,09JUL2014:09:02:51.000000,4,65,41.01704,28.96956
14573146,09OCT2014:00:00:00,09OCT2014:15:36:34.000000,8,65,41.01704,28.96956
14573146,07NOV2014:00:00:00,07NOV2014:13:59:42.000000,7,65,41.01704,28.96956
14573146,06AUG2014:00:00:00,06AUG2014:14:46:33.000000,5,65,41.01704,28.96956
19858904,13OCT2014:00:00:00,13OCT2014:14:13:14.000000,15,69,41.021712,29.016784
17643688,05MAY2015:00:00:00,05MAY2015:08:59:32.000000,3,69,41.021712,29.016784
21213035,26AUG2014:00:00:00,26AUG2014:14:06:33.000000,12,70,36.985838,35.322919
21021028,22JAN2015:00:00:00,22JAN2015:16:39:25.000000,4,80,41.01444,28.97606
15370451,16FEB2015:00:00:00,16FEB2015:11:42:06.000000,5,80,41.01444,28.97606
15370451,16JUL2014:00:00:00,16JUL2014:12:05:48.000000,5,80,41.01444,28.97606
15370451,20FEB2015:00:00:00,20FEB2015:12:10:59.000000,4,80,41.01444,28.97606
15370451,09OCT2014:00:00:00,09OCT2014:12:00:27.000000,11,80,41.01444,28.97606
15766015,25MAY2015:00:00:00,25MAY2015:11:20:11.000000,8,94,40.854015,26.630996
