tarih,musteri_id_mask,alici_musteri_id_mask,doviz_fmt,odeme_turu_fmt,havale_tutari,musteri_tip
24FEB2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,1262.98,TUZEL
24FEB2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,1277.58,TUZEL
24FEB2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,1384.08,TUZEL
01FEB2015:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,905,TUZEL
02DEC2014:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,300,GERCEK
02FEB2015:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,315,TUZEL
25FEB2015:00:00:00,20747527,1902352,TURK_LIRASI,DIGER_ODEMELER,380,GERCEK
02DEC2014:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,899,TUZEL
03FEB2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,600,GERCEK
07JAN2015:00:00:00,9339300,12457749,TURK_LIRASI,DIGER_ODEMELER,15000,GERCEK
03FEB2015:00:00:00,10961244,10734637,TURK_LIRASI,DIGER_ODEMELER,33,GERCEK
04DEC2014:00:00:00,9054653,18293325,TURK_LIRASI,AIDAT,371,TUZEL
27FEB2015:00:00:00,15748483,10485075,TURK_LIRASI,DIGER_ODEMELER,50,GERCEK
27FEB2015:00:00:00,17638957,10784674,TURK_LIRASI,DIGER_ODEMELER,699,GERCEK
01MAR2015:00:00:00,2782253,27493266,TURK_LIRASI,DIGER_ODEMELER,850,GERCEK
05DEC2014:00:00:00,9054653,10276750,TURK_LIRASI,DIGER_ODEMELER,1350,TUZEL
01APR2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,100,GERCEK
01MAR2015:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,750,TUZEL
02MAR2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
02MAR2015:00:00:00,3542321,13775437,TURK_LIRASI,DIGER_ODEMELER,300,GERCEK
02MAR2015:00:00:00,10961244,6906362,TURK_LIRASI,DIGER_ODEMELER,1000,TUZEL
01APR2015:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,885,TUZEL
06MAR2015:00:00:00,9054653,18293325,TURK_LIRASI,AIDAT,371,TUZEL
02MAR2015:00:00:00,18654919,1852491,TURK_LIRASI,DIGER_ODEMELER,1062.5,TUZEL
02MAR2015:00:00:00,18654919,27643289,TURK_LIRASI,AIDAT,125,TUZEL
02MAR2015:00:00:00,18654919,27643289,TURK_LIRASI,DIGER_ODEMELER,150,TUZEL
02APR2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
03MAR2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,150,GERCEK
08MAR2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
09MAR2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
09MAR2015:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,331,TUZEL
28APR2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,150,GERCEK
04APR2015:00:00:00,18654919,1852491,TURK_LIRASI,DIGER_ODEMELER,1062.5,TUZEL
04APR2015:00:00:00,18654919,27643289,TURK_LIRASI,DIGER_ODEMELER,125,TUZEL
04APR2015:00:00:00,18654919,27643289,TURK_LIRASI,DIGER_ODEMELER,150,TUZEL
09MAR2015:00:00:00,20018440,23152663,TURK_LIRASI,DIGER_ODEMELER,118,GERCEK
06APR2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
10MAR2015:00:00:00,10961244,10734637,TURK_LIRASI,DIGER_ODEMELER,70,GERCEK
30APR2015:00:00:00,2782253,27493266,TURK_LIRASI,DIGER_ODEMELER,850,GERCEK
